time,cmd,value
49,speed,-2.0
91,speed,-4.0
423,speed,-2.0
469,speed,0.0
548,angle,0.05
568,angle,0.1
588,angle,0.15000000000000002
608,angle,0.2
628,angle,0.25
648,angle,0.3
668,angle,0.35
688,angle,0.39999999999999997
708,angle,0.44999999999999996
728,angle,0.49999999999999994
748,angle,0.5499999999999999
768,angle,0.6
788,angle,0.65
808,angle,0.7000000000000001
828,angle,0.7500000000000001
848,speed,2.0
922,speed,0.0
956,speed,-2.0
1113,angle,0.7000000000000001
1273,angle,0.65
1314,angle,0.6
1380,angle,0.5499999999999999
1455,angle,0.49999999999999994
1475,angle,0.44999999999999996
1496,angle,0.39999999999999997
1546,angle,0.35
1600,angle,0.3
1621,angle,0.25
1710,angle,0.2
1730,angle,0.15000000000000002
1750,angle,0.10000000000000002
1802,angle,0.05000000000000002
1822,angle,1.3877787807814457e-17
1847,angle,-0.04999999999999999
1867,angle,-0.09999999999999999
1897,angle,-0.15
1917,angle,-0.2
1937,angle,-0.25
1957,angle,-0.3
2001,angle,-0.35
2021,angle,-0.39999999999999997
2301,angle,-0.44999999999999996
2551,speed,0.0
2651,angle,-0.39999999999999997
2671,angle,-0.35
2693,angle,-0.3
2713,angle,-0.25
2733,angle,-0.2
2753,angle,-0.15000000000000002
2773,angle,-0.10000000000000002
2797,speed,2.0
2849,angle,-0.05000000000000002
2869,angle,-1.3877787807814457e-17
2889,angle,0.04999999999999999
2909,angle,0.09999999999999999
3053,speed,0.0
3102,angle,0.04999999999999999
3125,angle,-1.3877787807814457e-17
3148,angle,-0.05000000000000002
3168,angle,-0.10000000000000002
3219,angle,-0.15000000000000002
3239,angle,-0.2
3259,angle,-0.25
3299,speed,2.0
3357,speed,0.0
3419,speed,-2.0
3658,speed,0.0
3711,angle,-0.2
3731,angle,-0.15000000000000002
3751,angle,-0.10000000000000002
3773,angle,-0.05000000000000002
3793,angle,-1.3877787807814457e-17
3813,speed,2.0
3863,angle,0.04999999999999999
3886,angle,0.09999999999999999
3906,angle,0.15
3926,angle,0.2
3946,angle,0.25
3984,angle,0.2
4004,angle,0.15000000000000002
4044,speed,0.0
4064,speed,-2.0
4084,speed,-4.0
4123,angle,0.10000000000000002
4143,angle,0.05000000000000002
4164,angle,1.3877787807814457e-17
4184,angle,-0.04999999999999999
4204,speed,-2.0
4224,speed,0.0
4631,stop,-1
